NUTS3;CODE
'DE721';'35390'
'DE715';'64646'
'DE128';'69242'
'DE501';'28259'
'DE12B';'75248'
'DE143';'72355'
'DE922';'28857'
'DE12A';'75382'
'DE128';'69245'
'DE128';'69259'
'DE71B';'64407'
'DEA46';'32425'
'DE927';'31592'
'DE719';'63543'
'DE118';'74912'
'DE142';'72076'
'DE736';'34471'
'DE269';'63853'
'DE117';'74078'
'DE269';'63785'
'DE149';'88639'
'DE118';'74348'
'DE141';'72827'
'DEF05';'25712'
'DE118';'74172'
'DE117';'74074'
'DE928';'31553'
'DE111';'70372'
'DE127';'74743'
'DEF0E';'25584'
'DE113';'72660'
'DE935';'21522'
'DE911';'38100'
'DEG0C';'99894'
'DE27B';'87660'
'DE276';'86877'
'DEG0E';'98646'
'DE277';'89434'
'DEE09';'38875'
'DE913';'38442'
'DE267';'96176'
'DEF08';'23758'
'DE93A';'29571'
'DE21N';'86984'
'DE254';'90427'
'DE934';'29487'
'DEG01';'99084'
'DEA41';'33607'
'DE721';'35398'
'DE712';'60486'
'DE146';'88480'
'DE918';'37176'
'DE600';'21075'
'DEF0D';'24558'
'DE145';'89174'
'DE145';'89171'
'DE11C';'89551'
'DE27E';'87547'
'DEF0D';'23826'
'DE25A';'91483'
'DE141';'72764'
'DE147';'88682'
'DE113';'72666'
'DE719';'63636'
'DE239';'92439'
'DE928';'31700'
'DE25C';'91781'
'DE21E';'86923'
'DEE07';'39365'
'DE923';'31863'
'DE119';'74670'
'DE731';'34121'
'DE732';'36137'
'DEF0C';'24860'
'DE113';'73235'
'DE113';'73272'
'DE11A';'74523'
'DE119';'74635'
'DE925';'31089'
'DED44';'07952'
'DE21K';'83043'
'DE803';'18069'
'DEE02';'06116'
'DED44';'08527'
'DE239';'92521'
'DE232';'93055'
'DE238';'93105'
'DE237';'92715'
'DE239';'92543'
'DE237';'92696'
'DE21M';'83132'
'DE21G';'84555'
'DE235';'93167'
'DE267';'97539'
'DE27D';'86739'
'DE27C';'87782'
'DE27D';'86748'
'DE935';'21380'
'DE267';'96181'
'DEF0D';'23719'
'DEA5B';'59590'
'DE21M';'83358'
'DE40E';'14806'
'DE401';'14770'
'DE40E';'14550'
'DE80L';'18469'
'DE215';'83364'
'DED43';'09241'
'DED42';'09387'
'DED43';'04703'
'DE40E';'14552'
'DED43';'09577'
'DE224';'94550'
'DE80J';'17034'
'DE300';'10777'
'DE300';'13407'
'DE300';'13159'
'DED2D';'02708'
'DE148';'88147'
'DE114';'73326'
'DEF09';'25482'
'DE11B';'97980'
'DE732';'36132'
'DE114';'73333'
'DE929';'30175'
'DE146';'88454'
'DE929';'30625'
'DE26C';'97270'
'DE26C';'97250'
'DEF09';'25451'
'DE931';'29313'
'DE145';'89195'
'DE11D';'73457'
'DE26C';'97288'
'DE145';'89165'
'DE265';'97708'
'DE600';'22089'
'DE26C';'97241'
'DE918';'37191'
'DE26C';'97252'
'DEB12';'53534'
'DEB24';'53539'
'DEA23';'50933'
'DE600';'22043'
